Source,Target,Weight
CYP138,CYP108,0.06
CYP138,CYP121,0.19
CYP138,CYP123,0.24
CYP138,CYP124,0.25
CYP138,CYP125,0.085
CYP138,CYP126,0.08
CYP138,CYP128,0.185
CYP138,CYP130,0.225
CYP138,CYP135,0.215
CYP138,CYP136,0.25
CYP138,CYP137,0.19
CYP138,CYP139,0.215
CYP138,CYP140,0.25
CYP138,CYP141,0.16
CYP138,CYP142,0.24
CYP138,CYP143,0.22
CYP138,CYP144,0.25
CYP138,CYP150,0.06
CYP138,CYP151,0.02
CYP138,CYP153,0.005
CYP138,CYP164,0.055
CYP138,CYP185,0.055
CYP138,CYP186,0.015
CYP138,CYP187,0.06
CYP138,CYP188,0.06
CYP138,CYP189,0.06
CYP138,CYP190,0.06
CYP138,CYP191,0.06
CYP138,CYP243,0.035
CYP138,CYP268,0.055
CYP138,CYP272,0.025
CYP138,CYP279,0.055
CYP138,CYP282,0.01
CYP138,CYP291,0.035
CYP138,CYP51,0.245
CYP138,New_family_26,0.245
CYP138,New_family_27,0.04
CYP138,New_family_28,0.01
CYP138,New_family_29,0.005
CYP138,New_family_30,0.01
CYP139,CYP1034,0.02
CYP139,CYP105,0.025
CYP139,CYP108,0.025
CYP139,CYP121,0.19
CYP139,CYP123,0.205
CYP139,CYP124,0.215
CYP139,CYP125,0.05
CYP139,CYP126,0.045
CYP139,CYP128,0.185
CYP139,CYP130,0.19
CYP139,CYP135,0.19
CYP139,CYP136,0.215
CYP139,CYP137,0.19
CYP139,CYP138,0.215
CYP139,CYP140,0.215
CYP139,CYP141,0.16
CYP139,CYP142,0.205
CYP139,CYP143,0.21
CYP139,CYP144,0.215
CYP139,CYP150,0.025
CYP139,CYP164,0.025
CYP139,CYP185,0.02
CYP139,CYP187,0.025
CYP139,CYP188,0.025
CYP139,CYP189,0.025
CYP139,CYP190,0.025
CYP139,CYP191,0.025
CYP139,CYP243,0.025
CYP139,CYP268,0.025
CYP139,CYP272,0.025
CYP139,CYP279,0.025
CYP139,CYP291,0.025
CYP139,CYP51,0.21
CYP139,New_family_26,0.21
CYP139,New_family_27,0.025
CYP140,CYP102,0.005
CYP140,CYP1027,0.015
CYP140,CYP1034,0.02
CYP140,CYP105,0.06
CYP140,CYP107,0.015
CYP140,CYP108,0.06
CYP140,CYP121,0.19
CYP140,CYP123,0.24
CYP140,CYP124,0.25
CYP140,CYP125,0.085
CYP140,CYP126,0.08
CYP140,CYP128,0.185
CYP140,CYP130,0.225
CYP140,CYP135,0.215
CYP140,CYP136,0.25
CYP140,CYP137,0.19
CYP140,CYP138,0.25
CYP140,CYP139,0.215
CYP140,CYP141,0.16
CYP140,CYP142,0.24
CYP140,CYP143,0.22
CYP140,CYP144,0.25
CYP140,CYP150,0.06
CYP140,CYP151,0.02
CYP140,CYP153,0.005
CYP140,CYP164,0.055
CYP140,CYP185,0.055
CYP140,CYP186,0.015
CYP140,CYP187,0.06
CYP140,CYP188,0.06
CYP140,CYP189,0.06
CYP140,CYP190,0.06
CYP140,CYP191,0.06
CYP140,CYP243,0.035
CYP140,CYP268,0.055
CYP140,CYP272,0.025
CYP140,CYP279,0.055
CYP140,CYP282,0.01
CYP140,CYP291,0.035
CYP140,CYP51,0.245
CYP140,New_family_26,0.245
CYP140,New_family_27,0.04
CYP140,New_family_28,0.01
CYP140,New_family_29,0.005
CYP140,New_family_30,0.01
CYP141,CYP121,0.16
CYP141,CYP123,0.15
CYP141,CYP124,0.16
CYP141,CYP125,0.02
CYP141,CYP126,0.015
CYP141,CYP128,0.16
CYP141,CYP130,0.16
CYP141,CYP135,0.16
CYP141,CYP136,0.16
CYP141,CYP137,0.16
CYP141,CYP138,0.16
CYP141,CYP139,0.16
CYP141,CYP140,0.16
CYP141,CYP142,0.15
CYP141,CYP143,0.16
CYP141,CYP144,0.16
CYP141,CYP51,0.16
CYP141,New_family_26,0.155
CYP142,CYP102,0.005
CYP142,CYP1027,0.015
CYP142,CYP1034,0.02
CYP142,CYP105,0.06
CYP142,CYP107,0.015
CYP142,CYP108,0.06
CYP142,CYP121,0.18
CYP142,CYP123,0.24
CYP142,CYP124,0.24
CYP142,CYP125,0.075
CYP142,CYP126,0.08
CYP142,CYP128,0.175
CYP142,CYP130,0.215
CYP142,CYP135,0.205
CYP142,CYP136,0.24
CYP142,CYP137,0.18
CYP142,CYP138,0.24
CYP142,CYP139,0.205
CYP142,CYP140,0.24
CYP142,CYP141,0.15
CYP142,CYP143,0.21
CYP142,CYP144,0.24
CYP142,CYP150,0.06
CYP142,CYP151,0.02
CYP142,CYP153,0.005
CYP142,CYP164,0.055
CYP142,CYP185,0.055
CYP142,CYP186,0.015
CYP142,CYP187,0.06
CYP142,CYP188,0.06
CYP142,CYP189,0.06
CYP142,CYP190,0.06
CYP142,CYP191,0.06
CYP142,CYP243,0.035
CYP142,CYP268,0.055
CYP142,CYP272,0.025
CYP142,CYP279,0.055
CYP142,CYP282,0.01
CYP142,CYP291,0.035
CYP142,CYP51,0.235
CYP142,New_family_26,0.235
CYP142,New_family_27,0.04
CYP142,New_family_28,0.01
CYP142,New_family_29,0.005
CYP142,New_family_30,0.01
CYP143,CYP1027,0.01
CYP143,CYP1034,0.015
CYP143,CYP105,0.03
CYP143,CYP108,0.03
CYP143,CYP121,0.19
CYP143,CYP123,0.21
CYP143,CYP124,0.22
CYP143,CYP125,0.055
CYP143,CYP126,0.05
CYP143,CYP128,0.185
CYP143,CYP130,0.195
CYP143,CYP135,0.19
CYP143,CYP136,0.22
CYP143,CYP137,0.19
CYP143,CYP138,0.22
CYP143,CYP139,0.21
CYP143,CYP140,0.22
CYP143,CYP141,0.16
CYP143,CYP142,0.21
CYP143,CYP144,0.22
CYP143,CYP150,0.03
CYP143,CYP153,0.005
CYP143,CYP164,0.03
CYP143,CYP185,0.025
CYP143,CYP187,0.03
CYP143,CYP188,0.03
CYP143,CYP189,0.03
