Subfamily,Absidia_glauca_gca_900079185.AG_v1.pep.all,Absidia_repens_gca_002105175.Absrep1.pep.all,Acaromyces_ingoldii_gca_003144295.Acain1.pep.all,Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all,Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all,Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all,Alternaria_alternata_gca_001642055.Altal1.pep.all,Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all,Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1.pep.all,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.pep.all
New_subf_102_New_family_16,0,0,0,0,0,0,1,0,0,0
New_subf_103_CYP576,0,0,0,0,0,0,1,0,0,0
New_subf_104_CYP617,0,0,0,0,0,0,1,0,0,0
New_subf_105_CYP527,0,0,0,0,0,0,1,0,0,0
New_subf_106_CYP617,0,0,0,0,0,0,0,1,0,0
New_subf_107_New_family_17,0,0,0,0,0,0,2,0,0,0
New_subf_108_CYP5043,0,0,0,0,0,0,0,1,0,0
New_subf_109_CYP547,0,0,0,0,0,0,0,1,0,0
New_subf_10_CYP509,0,6,0,0,0,0,0,0,0,0
New_subf_110_CYP677,0,0,0,0,0,0,0,1,0,0
New_subf_111_CYP530,0,0,0,0,0,0,0,1,0,0
New_subf_112_CYP5308,0,0,0,0,0,0,0,1,0,0
New_subf_113_CYP544,0,0,0,0,0,0,0,1,0,0
New_subf_114_CYP584,0,0,0,0,0,0,0,1,0,0
New_subf_115_CYP623,0,0,0,0,0,0,0,1,0,0
New_subf_116_CYP65,0,0,0,0,0,0,0,1,0,0
New_subf_117_CYP52,0,0,0,0,0,0,0,1,0,0
New_subf_118_CYP578,0,0,0,0,0,0,0,1,0,0
New_subf_119_CYP53,0,0,0,0,0,0,0,1,0,0
New_subf_11_CYP509,3,1,0,0,0,0,0,0,0,0
New_subf_120_CYP531,0,0,0,0,0,0,0,1,0,0
New_subf_121_CYP505,0,0,0,0,0,0,0,1,0,0
New_subf_122_CYP578,0,0,0,0,0,0,0,1,0,0
New_subf_123_CYP530,0,0,0,0,0,0,0,1,0,0
New_subf_124_CYP5095,0,0,0,0,0,0,0,1,0,0
New_subf_125_New_family_18,0,0,0,0,0,0,0,1,0,0
